id,name,gender,trading_style,instrument_type,ticker_or_contract,profit_example,profit_category
2093,Quinn Collins,Female,High Frequency Trading,Stock,ORCL,724.24%,Before Fees
2094,Vivian Cruz,Female,Statistical Arbitrage,Futures,ETH-PERP,"$64,291.68",Net P&L
2095,Joel Alvarez,Male,Mean Reversion,Crypto,ATOM,1844.78%,Return (%)
2096,Mateo Kelly,Male,Algorithmic Trading,Futures,BTC-PERP,1751.27%,Unrealized Profit
2097,Emilia James,Female,Pairs Trading,Options,AAPL 2025-12-19 C 180,"$87,664.73",Net P&L
2098,Emilia Wood,Female,Algorithmic Trading,Stock,BRK.B,"$184,924.03",Gross P&L
2099,Jeremiah Castillo,Male,Statistical Arbitrage,Crypto,DOGE,"$152,060.46",Gross P&L
2100,Oliver Kelly,Male,Carry Trade,Stock,ABNB,"$188,269.35",After Fees
2101,Rylee Anderson,Female,Futures Roll,Stock,DIS,"$92,760.80",After Fees
2102,Lucas Nelson,Male,Futures Roll,Stock,UBER,1812.39%,Daily P&L
2103,Jeremiah Price,Male,Momentum Trading,Options,NVDA 2026-01-21 C 350,"$89,578.06",Before Fees
2104,Mateo Brown,Male,Momentum Trading,Options,AAPL 2025-12-19 C 180,733.98%,Weekly P&L
2105,Amelia Peterson,Female,Swing Trading,Stock,MSFT,"$88,552.50",Net of Taxes
2106,Eliza Reyes,Female,Futures Roll,Crypto,LINK,"$2,646.43",Daily P&L
2107,Lucy Bennett,Female,High Frequency Trading,Crypto,SOL,728.13%,Realized Profit
2108,Delilah Foster 43,Female,Pairs Trading,Stock,JPM,"$46,962.78",Unrealized Profit
2109,Kinsley Adams,Female,News Trading,Stock,AMZN,242.31%,Net P&L
2110,Kinsley Lopez,Female,Mean Reversion,Stock,NVDA,1432.51%,Net of Taxes
2111,Ariel Brown,Female,Statistical Arbitrage,Stock,META,"$166,964.24",Before Fees
2112,Ian Sanchez,Male,Options Spreads,Futures,BTC-PERP,73.56%,Per Trade Profit
2113,Emily Cox,Female,Quantitative Trading,Futures,NQ Dec25,"$-12,267.07",Paper Gain
2114,Samuel Thomas,Male,Options Spreads,Options,MSFT 2025-11-21 P 300,"$115,045.70",Realized Profit
2115,Wesley Myers,Male,Position Trading,Crypto,ETH,"$-23,873.62",Paper Gain
2116,Cole Castillo,Male,Trend Following,Stock,NVDA,1843.61%,Weekly P&L
2117,Grayson Sanchez,Male,Algorithmic Trading,Futures,ETH-PERP,"$92,970.96",Absolute $
2118,John Morgan,Male,Futures Roll,Stock,TSLA,1296.8%,Gross P&L
2119,Elizabeth Martin,Female,Mean Reversion,Crypto,BNB,"$21,112.61",Weekly P&L
2120,Nova Watson,Female,Trend Following,Crypto,ATOM,1110.5%,Return (%)
2121,Skyler Kim 295,Non-binary,Algorithmic Trading,Stock,AAPL,670.13%,Return (%)
2122,Harper Patel,Female,Algorithmic Trading,Crypto,BTC,1094.63%,Return (%)
2123,Steven Howard,Male,Position Trading,Stock,AAPL,"$63,433.58",Paper Gain
2124,Connor Rivera,Male,News Trading,Crypto,LINK,"$140,643.03",Paper Gain
2125,Elijah King,Male,Momentum Trading,Futures,ETH-PERP,"$197,525.00",Realized Profit
2126,Thomas Ward,Male,Statistical Arbitrage,Stock,BRK.B,"$-8,412.04",Net of Taxes
2127,Brooks Castillo 989,Male,Day Trading,Stock,MA,"$-17,503.10",Monthly P&L
2128,Damian Wilson,Male,Mean Reversion,Stock,JPM,1337.34%,Per Trade Profit
2129,Victor Price 889,Male,Swing Trading,Stock,BRK.B,"$104,034.30",Absolute $
2130,Marley Foster,Non-binary,Options Spreads,Crypto,DOT,547.34%,Unrealized Profit
2131,Ryder Gray,Male,News Trading,Crypto,DOT,"$160,876.33",Net P&L
2132,Rafael Wilson,Male,Carry Trade,Stock,KO,"$-49,316.99",Realized Profit
2133,Adeline Thomas,Female,Swing Trading,Options,AAPL 2025-12-19 C 180,"$151,524.19",Daily P&L
2134,Cora Robinson,Female,Carry Trade,Stock,PG,88.96%,Paper Gain
2135,James Cooper,Male,News Trading,Stock,GOOGL,"$-12,966.96",Realized Profit
2136,Elizabeth Baker,Female,Scalping,Crypto,LTC,"$-39,387.34",After Fees
2137,Benjamin Reyes,Male,Scalping,Crypto,DOT,1607.29%,Gross P&L
2138,Kai Scott,Male,Quantitative Trading,Stock,META,"$126,016.19",Realized Profit
2139,Eli White,Male,News Trading,Stock,ABNB,"$125,851.94",Net of Taxes
2140,Elijah Clark,Male,Trend Following,Stock,AAPL,"$117,762.69",Monthly P&L
2141,Nevaeh Phillips,Female,Futures Roll,Stock,KO,1660.49%,Absolute $
2142,Mateo Hernandez 363,Male,High Frequency Trading,Crypto,LINK,1368.9%,After Fees
2143,Lucas Wright,Male,Position Trading,Stock,MA,"$32,582.94",Net of Taxes
2144,Henry Anderson 53,Male,Futures Roll,Stock,NFLX,"$13,079.16",Realized Profit
2145,Lily Howard,Female,Scalping,Stock,MRNA,1082.13%,Daily P&L
2146,Peyton Hughes,Female,Trend Following,Stock,AAPL,"$199,371.25",Unrealized Profit
2147,Joseph Garcia,Male,Swing Trading,Stock,PYPL,525.02%,Monthly P&L
2148,Maya Gomez,Female,High Frequency Trading,Options,MSFT 2025-11-21 P 300,317.19%,Net of Taxes
2149,Logan Turner,Male,Pairs Trading,Stock,INTC,"$177,018.94",Unrealized Profit
2150,Jeremiah Torres,Male,Statistical Arbitrage,Futures,GC Dec25,"$12,060.45",Monthly P&L
2151,Theodore Parker 189,Male,Pairs Trading,Stock,NKE,"$177,992.41",Net of Taxes
2152,Noah Rodriguez,Male,Carry Trade,Crypto,ATOM,"$57,696.75",Per Trade Profit
2153,Jack Reyes,Male,Mean Reversion,Stock,DIS,"$52,685.48",Monthly P&L
2154,Alex James,Male,Carry Trade,Stock,KO,"$182,722.21",Before Fees
2155,Avery Walker,Non-binary,Futures Roll,Stock,NKE,1784.64%,Unrealized Profit
2156,Taylor Sanders,Non-binary,Day Trading,Options,NVDA 2026-01-21 C 350,1687.94%,Before Fees
2157,Hayden Hill,Non-binary,Position Trading,Crypto,SOL,"$170,044.33",Return (%)
2158,Quinn Robinson 586,Female,News Trading,Futures,BTC-PERP,"$-47,116.49",Paper Gain
2159,Elijah King 555,Male,Trend Following,Stock,NFLX,"$-26,575.73",Monthly P&L
2160,Owen Carter,Male,Quantitative Trading,Crypto,BNB,"$111,988.00",Unrealized Profit
2161,Elliot Murphy,Non-binary,Carry Trade,Crypto,XRP,1159.79%,Absolute $
2162,Valentina Martin,Female,Quantitative Trading,Stock,MRNA,"$199,762.04",Monthly P&L
2163,Leilani Miller,Female,News Trading,Stock,CRM,"$-20,521.50",Weekly P&L
2164,Rowan Diaz,Male,Swing Trading,Stock,MA,"$87,962.00",Net P&L
2165,Anthony Gray,Male,Trend Following,Options,TSLA 2025-10-17 P 250,643.49%,Weekly P&L
2166,Oakley James,Non-binary,Mean Reversion,Crypto,MATIC,"$-38,708.11",Net of Taxes
2167,Kendall Ward,Non-binary,High Frequency Trading,Stock,INTC,1864.67%,Absolute $
2168,Aaron Rogers,Male,Futures Roll,Stock,AMZN,"$90,208.29",Unrealized Profit
2169,Samuel Rivera,Male,Options Spreads,Crypto,ADA,"$86,677.98",Realized Profit
2170,Kinsley Jimenez,Female,Quantitative Trading,Stock,INTC,"$75,452.20",Net of Taxes
2171,Eli Moore,Male,Statistical Arbitrage,Futures,GC Dec25,"$196,880.77",Before Fees
2172,Brayden Rodriguez,Male,Scalping,Stock,PYPL,"$-31,536.74",Monthly P&L
2173,Harrison Castillo,Male,Mean Reversion,Stock,ORCL,1733.58%,Daily P&L
2174,Jayden Ramirez,Male,Day Trading,Stock,MA,"$195,253.16",Realized Profit
2175,Sage Bailey,Non-binary,Trend Following,Crypto,MATIC,1370.7%,Paper Gain
2176,Mateo Long,Male,Carry Trade,Stock,NVDA,"$-25,659.64",Return (%)
2177,Victoria Hughes,Female,Options Spreads,Stock,AAPL,"$-34,205.10",Weekly P&L
2178,Josephine Rodriguez,Female,Carry Trade,Crypto,SOL,"$93,308.64",Before Fees
2179,Aaliyah Cooper,Female,Day Trading,Futures,ETH-PERP,869.62%,Before Fees
2180,Julian Hernandez,Male,Position Trading,Stock,MA,1663.44%,Net of Taxes
2181,Josiah Watson,Male,Options Spreads,Stock,JPM,1030.65%,Weekly P&L
2182,Oakley Gomez,Non-binary,Futures Roll,Crypto,LINK,"$76,680.80",Net of Taxes
2183,Maxwell Lopez,Male,Carry Trade,Stock,CRM,1587.52%,Realized Profit
2184,Ian Moore 741,Male,Swing Trading,Crypto,SOL,1540.2%,Return (%)
2185,Isaiah Ruiz,Male,Scalping,Stock,GOOGL,"$55,620.54",Daily P&L
2186,Patrick Kim,Male,Quantitative Trading,Crypto,SHIB,"$28,597.00",Absolute $
2187,Morgan Gonzalez,Non-binary,Trend Following,Crypto,BNB,"$-36,047.16",After Fees
2188,Elijah Kim,Male,Pairs Trading,Crypto,XRP,527.3%,Net of Taxes
2189,Benjamin Nguyen,Male,Carry Trade,Futures,GC Dec25,1455.18%,Before Fees
2190,Skylar Murphy,Female,Options Spreads,Stock,UNH,"$-46,411.23",Weekly P&L
2191,Sage Diaz,Non-binary,Futures Roll,Options,MSFT 2025-11-21 P 300,"$173,115.90",Net of Taxes
2192,Aurora Foster,Female,Algorithmic Trading,Stock,BRK.B,1591.06%,Realized Profit
2193,Grayson Mitchell,Male,Quantitative Trading,Stock,PG,1694.01%,Paper Gain
2194,Leah Hughes,Female,Quantitative Trading,Stock,GOOGL,1167.67%,Return (%)
2195,Benjamin Johnson,Male,Options Spreads,Crypto,AVAX,"$-3,315.49",Paper Gain
2196,Carter Ross,Male,Statistical Arbitrage,Options,MSFT 2025-11-21 P 300,895.29%,Absolute $
2197,Andrew Ward,Male,Position Trading,Stock,AAPL,"$20,232.65",Unrealized Profit
2198,George Cook,Male,Quantitative Trading,Options,NVDA 2026-01-21 C 350,-87.15%,Before Fees
2199,Jonathan Ramos,Male,Statistical Arbitrage,Crypto,MATIC,1982.44%,Paper Gain
2200,Mason Thompson,Male,News Trading,Crypto,ATOM,"$146,398.37",Realized Profit
2201,Ari Edwards,Non-binary,Options Spreads,Stock,NKE,1690.76%,Per Trade Profit
2202,Evelyn Jackson,Female,Mean Reversion,Crypto,ATOM,"$82,190.47",Net P&L
2203,Eliana Baker,Female,Quantitative Trading,Stock,HD,1017.81%,After Fees
2204,Leilani Perez,Female,Mean Reversion,Stock,JPM,"$-19,148.52",Before Fees
2205,Riley Cook,Female,News Trading,Stock,JPM,1957.89%,Gross P&L
2206,Blake Diaz,Male,News Trading,Stock,BABA,"$66,806.01",Daily P&L
2207,Wyatt Martinez,Male,Momentum Trading,Stock,META,1967.92%,Gross P&L
2208,Serenity Ross,Female,Scalping,Crypto,LTC,"$175,292.60",Absolute $
2209,Hannah Bennett,Female,Mean Reversion,Stock,BABA,"$-42,323.73",Monthly P&L
2210,Ariana Carter,Female,Scalping,Crypto,TRX,642.62%,Realized Profit
2211,Mia Rodriguez 623,Female,Swing Trading,Options,TSLA 2025-10-17 P 250,"$128,689.55",Net P&L
2212,Jace Robinson,Male,Momentum Trading,Stock,INTC,"$173,448.56",Return (%)
2213,Aurora Johnson,Female,Position Trading,Stock,SQ,"$128,788.85",Absolute $
2214,Elias Torres,Male,Options Spreads,Crypto,ETH,"$-6,937.51",Gross P&L
2215,Alex Campbell,Male,Swing Trading,Stock,MA,341.56%,Before Fees
2216,Margaret Rodriguez,Female,Algorithmic Trading,Stock,PYPL,"$146,069.55",Unrealized Profit
2217,Tristan Wood,Male,Trend Following,Crypto,SHIB,"$98,939.10",Paper Gain
2218,Valentina Rogers,Female,Quantitative Trading,Crypto,TRX,1092.59%,Absolute $
2219,Hunter Rogers,Non-binary,Swing Trading,Crypto,ATOM,"$196,320.95",After Fees
2220,Avery Morris,Female,Futures Roll,Stock,PEP,432.97%,Net P&L
2221,Michael Sanders,Male,Quantitative Trading,Futures,BTC-PERP,267.56%,Paper Gain
2222,Charlie Wood,Non-binary,Mean Reversion,Stock,DIS,"$9,566.79",Weekly P&L
2223,Jacob Chavez,Male,Day Trading,Crypto,LTC,"$154,227.85",Net of Taxes
2224,Joseph Gutierrez,Male,Algorithmic Trading,Options,AAPL 2025-12-19 C 180,"$-19,718.35",Monthly P&L
2225,Carter Robinson,Male,Day Trading,Stock,AAPL,"$80,505.39",After Fees
2226,Jacob Garcia,Male,Statistical Arbitrage,Futures,BTC-PERP,155.58%,Before Fees
2227,Jaxon Harris 383,Male,Pairs Trading,Stock,AMZN,"$131,126.49",Before Fees
2228,Andrew Wood,Male,Swing Trading,Stock,AMZN,480.36%,Weekly P&L
2229,Cora Chavez 143,Female,Options Spreads,Stock,V,1136.27%,Monthly P&L
2230,Ella Jones,Female,Day Trading,Stock,PFE,"$137,899.21",Paper Gain
2231,Victor Scott 968,Male,Quantitative Trading,Stock,PFE,"$-31,366.78",Realized Profit
2232,Jordan Parker,Non-binary,Quantitative Trading,Stock,UBER,"$-26,993.12",Realized Profit
2233,Kai Mitchell,Non-binary,Scalping,Stock,AMZN,1772.8%,Net P&L
2234,Alex Edwards,Non-binary,Quantitative Trading,Crypto,ETH,1837.03%,Net of Taxes
2235,Cole Stewart,Male,Day Trading,Stock,PYPL,"$90,424.46",Net P&L
2236,Matthew Sanchez,Male,Quantitative Trading,Stock,NVDA,"$91,867.01",Net of Taxes
2237,Charles Cox,Male,High Frequency Trading,Stock,AAPL,"$89,507.52",Before Fees
2238,Alice Thomas,Female,Statistical Arbitrage,Stock,ORCL,52.56%,Realized Profit
2239,Ryder Diaz,Male,Scalping,Stock,DIS,"$174,198.05",Realized Profit
2240,Zoey Taylor,Female,Momentum Trading,Stock,AMZN,"$125,385.55",Return (%)
2241,Peyton Gutierrez,Female,Mean Reversion,Crypto,TRX,"$25,681.42",Unrealized Profit
2242,Olivia Ross,Female,News Trading,Futures,BTC-PERP,1875.56%,Weekly P&L
2243,Everly Rogers,Female,Futures Roll,Stock,GOOGL,"$22,696.83",Unrealized Profit
2244,Avery Morales,Female,Mean Reversion,Stock,PYPL,102.8%,Per Trade Profit
2245,Sarah Peterson,Female,Quantitative Trading,Stock,AMZN,815.06%,Paper Gain
2246,Jace Morris,Male,Scalping,Stock,CRM,"$152,790.69",Gross P&L
2247,Addison Wright,Female,News Trading,Futures,ES Dec25,682.98%,Monthly P&L
2248,Natalie Parker,Female,Day Trading,Crypto,SOL,197.23%,Monthly P&L
2249,Maya Smith,Female,Swing Trading,Crypto,BTC,"$49,824.61",Daily P&L
2250,Paisley Scott 975,Female,Algorithmic Trading,Stock,TSLA,484.74%,Monthly P&L
2251,Layla Cook 168,Female,Trend Following,Futures,BTC-PERP,1759.51%,Gross P&L
2252,Michael Morales,Male,Mean Reversion,Crypto,ATOM,"$15,454.39",After Fees
2253,Levi Turner,Male,News Trading,Stock,SQ,"$-33,522.23",Weekly P&L
2254,Marcus Chavez,Male,Scalping,Crypto,BTC,"$42,950.38",Realized Profit
2255,Elena Wilson,Female,Scalping,Futures,ETH-PERP,"$56,850.92",Daily P&L
2256,Josephine Campbell,Female,Futures Roll,Stock,PEP,"$92,377.97",Net P&L
2257,Adrian Martinez,Male,Day Trading,Options,NVDA 2026-01-21 C 350,"$70,966.73",Daily P&L
2258,Ariana Lopez,Female,Trend Following,Options,NVDA 2026-01-21 C 350,376.71%,Per Trade Profit
2259,Ian Gutierrez,Male,Algorithmic Trading,Stock,CRM,765.46%,Paper Gain
2260,Violet Stewart,Female,Scalping,Crypto,MATIC,1565.37%,Before Fees
2261,Shawn Sanchez,Non-binary,Algorithmic Trading,Options,AAPL 2025-12-19 C 180,1423.24%,Unrealized Profit
2262,Caleb Garcia,Male,Quantitative Trading,Stock,MRNA,"$-4,206.03",After Fees
2263,Grace Sanders,Female,High Frequency Trading,Stock,JPM,"$179,599.06",Absolute $
2264,Brooklyn Wright,Female,Swing Trading,Futures,GC Dec25,840.39%,Net of Taxes
2265,Vivian Allen,Female,Pairs Trading,Options,TSLA 2025-10-17 P 250,567.63%,Net P&L
2266,Emmett Watson,Male,Quantitative Trading,Futures,CL Nov25,1034.4%,Return (%)
2267,Aaron Cruz,Male,Swing Trading,Futures,ETH-PERP,"$62,246.41",Return (%)
2268,Thomas Gomez,Male,Mean Reversion,Stock,CRM,-79.56%,Realized Profit
2269,Everly Foster,Female,Statistical Arbitrage,Stock,MSFT,549.89%,Realized Profit
2270,Allison Wilson,Female,Scalping,Options,AAPL 2025-12-19 C 180,871.67%,Before Fees
2271,Quinn Kim,Non-binary,Momentum Trading,Futures,ES Dec25,"$23,732.98",After Fees
2272,Amelia Mendoza,Female,Day Trading,Crypto,SOL,"$105,245.63",Net P&L
2273,Julian Hughes,Male,Mean Reversion,Futures,ETH-PERP,1775.23%,Per Trade Profit
2274,Ezra Green,Male,Swing Trading,Options,NVDA 2026-01-21 C 350,"$164,982.90",Weekly P&L
2275,Amelia Hernandez,Female,Algorithmic Trading,Stock,UNH,1854.05%,Return (%)
2276,Oakley King,Non-binary,Trend Following,Stock,UBER,"$20,629.89",Monthly P&L
2277,Sloane Cruz,Female,Momentum Trading,Crypto,TRX,"$87,686.13",Return (%)
2278,Gabriella Gray 376,Female,High Frequency Trading,Crypto,ATOM,1641.39%,Realized Profit
2279,Josiah Torres,Male,Algorithmic Trading,Futures,BTC-PERP,1523.01%,Realized Profit
2280,Rowan Thomas,Male,Momentum Trading,Stock,HD,1744.4%,Absolute $
2281,Ian Hughes 997,Male,Scalping,Crypto,ETH,"$106,715.25",Unrealized Profit
2282,Finley Ward,Non-binary,News Trading,Crypto,SOL,"$137,510.69",Return (%)
2283,Leah Jackson,Female,Scalping,Stock,PG,"$51,889.27",After Fees
2284,Kinsley Johnson,Female,Options Spreads,Crypto,MATIC,1808.55%,Before Fees
2285,Ezekiel Roberts,Male,Carry Trade,Crypto,LTC,"$123,862.96",Net P&L
2286,Elliot Wright,Non-binary,Algorithmic Trading,Crypto,SOL,1097.58%,Gross P&L
2287,Victor Mitchell,Male,Day Trading,Options,AAPL 2025-12-19 C 180,"$64,619.07",Weekly P&L
2288,Scarlett Nelson,Female,Mean Reversion,Stock,META,1639.73%,Unrealized Profit
2289,Audrey Green 263,Female,Mean Reversion,Stock,PG,"$64,844.63",Gross P&L
2290,Lucas Watson,Male,Momentum Trading,Stock,CRM,"$5,330.59",Return (%)
2291,Harper Johnson,Female,Swing Trading,Crypto,BTC,1773.93%,Monthly P&L
2292,Willow Young 7,Female,Options Spreads,Crypto,LINK,"$10,743.93",Paper Gain
2293,Camila Lopez,Female,High Frequency Trading,Stock,DIS,1194.16%,Realized Profit
2294,Blake Nelson,Male,Trend Following,Futures,GC Dec25,1991.65%,Before Fees
2295,Aaliyah Edwards,Female,Mean Reversion,Stock,CRM,"$98,354.77",Net of Taxes
2296,Aurora Perez,Female,High Frequency Trading,Stock,BRK.B,"$151,026.71",Paper Gain
2297,Margaret Jackson 470,Female,Mean Reversion,Stock,ADBE,"$65,485.94",After Fees
2298,Margaret Kim 131,Female,Position Trading,Stock,DIS,"$36,063.06",Paper Gain
2299,Harrison Peterson,Male,Options Spreads,Stock,META,253.32%,Per Trade Profit
2300,Rylee James,Female,Position Trading,Stock,HD,"$177,465.21",Daily P&L
2301,Thomas Reed,Male,Position Trading,Stock,GOOGL,"$2,859.00",Return (%)
2302,Matthew Hernandez 749,Male,Futures Roll,Crypto,DOT,887.93%,Daily P&L
2303,Audrey Bailey,Female,Swing Trading,Crypto,DOGE,1523.57%,Net P&L
2304,Sloane Hughes,Female,Scalping,Crypto,ADA,"$43,859.43",Paper Gain
2305,Hailey Morris,Female,Trend Following,Options,NVDA 2026-01-21 C 350,553.08%,Realized Profit
2306,Ruby Moore,Female,Statistical Arbitrage,Stock,MRNA,"$-36,506.42",Before Fees
2307,Jaxon Morgan,Male,High Frequency Trading,Stock,SQ,"$186,378.59",Realized Profit
2308,Mateo Scott 500,Male,Algorithmic Trading,Futures,ETH-PERP,1841.57%,Monthly P&L
2309,Camila Rodriguez,Female,Algorithmic Trading,Stock,HD,1313.57%,Daily P&L
2310,Emma Taylor,Female,Swing Trading,Stock,META,"$128,598.53",Paper Gain
2311,Jackson Taylor 736,Male,Momentum Trading,Stock,HD,116.79%,Return (%)
2312,Charlotte Jimenez,Female,Scalping,Crypto,LINK,"$171,583.97",Absolute $
2313,Wyatt Smith,Male,Swing Trading,Crypto,TRX,"$148,261.80",Net P&L
2314,Nico Collins,Non-binary,Position Trading,Stock,PG,370.91%,Weekly P&L
2315,Oliver Wood,Male,Scalping,Stock,PYPL,"$170,865.10",Per Trade Profit
2316,Casey Stewart,Non-binary,Swing Trading,Stock,ABNB,234.15%,Daily P&L
2317,Cameron Thomas,Non-binary,Carry Trade,Futures,ES Dec25,"$191,340.23",Before Fees
2318,Harper Richardson,Female,Momentum Trading,Stock,TSLA,"$150,364.61",Net P&L
2319,Remy Morales,Non-binary,News Trading,Stock,MSFT,"$171,199.52",Monthly P&L
2320,Josiah Collins,Male,Quantitative Trading,Futures,ES Dec25,"$48,500.31",Paper Gain
2321,Evan Gomez,Male,Pairs Trading,Stock,MSFT,"$144,700.73",Weekly P&L
2322,Damian Jones,Male,Quantitative Trading,Stock,MA,1338.2%,Net of Taxes
2323,Vivian Lewis,Female,Day Trading,Crypto,DOT,"$101,129.60",Paper Gain
2324,Sofia Perez,Female,Position Trading,Stock,MA,"$192,164.37",Gross P&L
2325,Christian Bennett,Male,Trend Following,Stock,PEP,1065.09%,Return (%)
2326,Mateo Gonzalez,Male,Swing Trading,Crypto,TRX,"$73,248.08",Net of Taxes
2327,Frankie Gonzalez,Non-binary,Options Spreads,Crypto,ATOM,"$10,025.52",Gross P&L
2328,Avery James,Non-binary,Quantitative Trading,Crypto,AVAX,$253.30,Return (%)
2329,Avery Castillo,Female,Futures Roll,Futures,CL Nov25,291.98%,Return (%)
2330,Addison Morgan,Female,Carry Trade,Stock,BRK.B,1893.66%,Realized Profit
2331,Zoey Martinez,Female,News Trading,Stock,PEP,1010.9%,Absolute $
2332,Brooks Wright,Male,Quantitative Trading,Stock,DIS,1083.8%,Gross P&L
2333,Naomi Phillips,Female,Carry Trade,Crypto,ATOM,1879.76%,Per Trade Profit
2334,Wyatt Campbell,Male,News Trading,Futures,GC Dec25,"$197,782.05",Gross P&L
2335,Bentley Kim,Male,Scalping,Crypto,MATIC,"$176,486.19",Paper Gain
2336,Ryan Torres,Male,Day Trading,Stock,INTC,"$181,323.26",Net of Taxes
2337,Parker Rogers,Non-binary,Mean Reversion,Stock,UNH,1151.48%,Return (%)
2338,Lucy Kelly,Female,Futures Roll,Stock,V,"$163,362.14",Net P&L
2339,Mateo Moore,Male,Position Trading,Stock,MRNA,"$46,201.49",Monthly P&L
2340,Alex King 668,Male,High Frequency Trading,Crypto,ADA,230.57%,Absolute $
2341,Stella Jimenez,Female,Algorithmic Trading,Stock,V,17.26%,Net of Taxes
2342,Sawyer Foster,Male,Day Trading,Stock,GOOGL,"$111,404.15",Daily P&L
2343,Kai Rivera,Male,Position Trading,Futures,NQ Dec25,"$132,472.37",After Fees
2344,Marcus Scott,Male,News Trading,Stock,META,1281.68%,Daily P&L
2345,Skylar Cook,Female,Carry Trade,Options,NVDA 2026-01-21 C 350,1266.02%,Per Trade Profit
2346,Camila Murphy,Female,Day Trading,Stock,TSLA,762.94%,Return (%)
2347,Mila Lewis,Female,Futures Roll,Futures,GC Dec25,"$57,493.67",Per Trade Profit
2348,Owen Harris,Male,Carry Trade,Stock,GOOGL,1255.98%,Realized Profit
2349,Emerson Martin,Non-binary,Day Trading,Options,AAPL 2025-12-19 C 180,671.72%,Per Trade Profit
2350,Charlotte Jones,Female,Statistical Arbitrage,Stock,NVDA,274.18%,Paper Gain
2351,Carter Green,Male,Algorithmic Trading,Stock,ABNB,"$-43,382.56",Gross P&L
2352,Brayden Ruiz,Male,Quantitative Trading,Options,TSLA 2025-10-17 P 250,"$106,886.63",Unrealized Profit
2353,Penelope Jones,Female,Quantitative Trading,Stock,META,637.24%,Paper Gain
2354,Nova Thompson,Female,Mean Reversion,Futures,ES Dec25,"$107,791.90",After Fees
2355,Aubrey Taylor,Female,News Trading,Crypto,XRP,1705.59%,Per Trade Profit
2356,Dylan Jackson,Male,Futures Roll,Stock,BABA,"$103,987.15",Before Fees
2357,Layla Smith,Female,Statistical Arbitrage,Stock,ABNB,1639.44%,Weekly P&L
2358,Willow Lewis 134,Female,Scalping,Stock,MA,"$192,998.22",After Fees
2359,Benjamin Peterson,Male,Mean Reversion,Futures,ES Dec25,"$74,458.55",Unrealized Profit
2360,Scarlett Sanchez,Female,Day Trading,Stock,GOOGL,"$-11,007.27",Unrealized Profit
2361,Beau Peterson,Male,Mean Reversion,Stock,INTC,1923.68%,After Fees
2362,Peyton Parker,Female,Carry Trade,Futures,CL Nov25,904.8%,Return (%)
2363,Gabriel Taylor,Male,Momentum Trading,Stock,META,"$-9,653.55",Daily P&L
2364,Leilani Wilson,Female,Carry Trade,Crypto,BNB,626.82%,Per Trade Profit
2365,Alice Martin,Female,Mean Reversion,Crypto,AVAX,"$189,588.58",Absolute $
2366,Carter Richardson,Male,Algorithmic Trading,Futures,CL Nov25,"$-37,672.76",Absolute $
2367,Brandon Castillo,Male,High Frequency Trading,Stock,KO,"$111,938.57",Before Fees
2368,Josiah Mendoza,Male,Position Trading,Options,NVDA 2026-01-21 C 350,-86.74%,Per Trade Profit
2369,George Bailey,Male,Trend Following,Futures,ES Dec25,"$172,119.66",Unrealized Profit
2370,Charles Thompson,Male,Pairs Trading,Stock,MSFT,381.4%,Monthly P&L
2371,Ariel Campbell 397,Female,Carry Trade,Stock,PFE,-5.43%,Return (%)
2372,Alexander Thompson,Male,Scalping,Futures,ETH-PERP,"$57,029.77",Daily P&L
2373,Alexander Reed,Male,Trend Following,Crypto,AVAX,"$17,904.80",Net of Taxes
2374,Avery Kelly,Non-binary,Algorithmic Trading,Crypto,XRP,"$62,714.82",After Fees
2375,Carter Davis,Male,Momentum Trading,Stock,AAPL,"$-7,818.18",Paper Gain
2376,Evelyn Richardson,Female,Position Trading,Options,MSFT 2025-11-21 P 300,"$115,408.10",Paper Gain
2377,Wyatt Kelly,Male,Options Spreads,Stock,NKE,1202.64%,After Fees
2378,Sarah Collins 417,Female,Statistical Arbitrage,Stock,ADBE,"$-8,756.58",After Fees
2379,Riley Hernandez,Female,Momentum Trading,Options,TSLA 2025-10-17 P 250,"$47,350.86",Weekly P&L
2380,Ryan Hughes,Male,Statistical Arbitrage,Crypto,LINK,782.75%,Net P&L
2381,Eleanor Watson,Female,Pairs Trading,Crypto,ATOM,"$100,654.48",Per Trade Profit
2382,Everly Flores,Female,Trend Following,Stock,ADBE,"$-18,827.70",Realized Profit
2383,Ryder Rodriguez,Male,News Trading,Stock,AAPL,"$44,533.98",Gross P&L
2384,Naomi Torres,Female,Swing Trading,Stock,NKE,"$55,216.22",Before Fees
2385,Aurora Flores,Female,Options Spreads,Crypto,SHIB,"$24,435.97",After Fees
2386,Aurora Lopez,Female,Quantitative Trading,Stock,META,795.92%,Realized Profit
2387,Caleb Jones,Male,News Trading,Stock,BRK.B,"$5,147.70",Net P&L
2388,Eric Roberts,Male,Options Spreads,Futures,BTC-PERP,1922.06%,After Fees
2389,Brandon Reed,Male,Quantitative Trading,Crypto,SOL,"$1,472.16",Daily P&L
2390,Adrian Castillo,Male,News Trading,Stock,HD,"$82,254.05",After Fees
2391,John Diaz,Male,Trend Following,Stock,AMZN,1823.95%,Net of Taxes
2392,Alice Ross,Female,News Trading,Stock,PG,769.29%,Absolute $
2393,Caleb Long,Male,Pairs Trading,Stock,UBER,545.52%,Gross P&L
